qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,q2
8924,1061,4,214,11,2021,10,9,silverstone,87245.0
8923,1061,20,117,10,2021,10,9,silverstone,87103.0
8922,1061,832,6,9,2021,10,9,silverstone,86848.0
8921,1061,847,3,8,2021,10,9,silverstone,87080.0
8920,1061,817,1,7,2021,10,9,silverstone,87125.0
8919,1061,846,1,6,2021,10,9,silverstone,87220.0
8918,1061,815,9,5,2021,10,9,silverstone,87073.0
8917,1061,844,6,4,2021,10,9,silverstone,86919.0
8916,1061,822,131,3,2021,10,9,silverstone,86764.0
8931,1061,849,3,18,2021,10,9,silverstone,0.0
8932,1061,854,210,19,2021,10,9,silverstone,0.0
8936,1062,830,9,3,2021,11,11,hungaroring,75650.0
8953,1062,854,210,20,2021,11,11,hungaroring,0.0
8937,1062,815,9,4,2021,11,11,hungaroring,76443.0
8938,1062,842,213,5,2021,11,11,hungaroring,76394.0
8939,1062,846,1,6,2021,11,11,hungaroring,76385.0
8940,1062,844,6,7,2021,11,11,hungaroring,76574.0
8941,1062,839,214,8,2021,11,11,hungaroring,76766.0
8942,1062,4,214,9,2021,11,11,hungaroring,76541.0
8943,1062,20,117,10,2021,11,11,hungaroring,76794.0
8935,1062,822,131,2,2021,11,11,hungaroring,76702.0
8934,1062,1,131,1,2021,11,11,hungaroring,76553.0
8946,1062,8,51,13,2021,11,11,hungaroring,77564.0
8947,1062,841,51,14,2021,11,11,hungaroring,77583.0
8948,1062,832,6,15,2021,11,11,hungaroring,0.0
8949,1062,852,213,16,2021,11,11,hungaroring,0.0
8950,1062,847,3,17,2021,11,11,hungaroring,0.0
8951,1062,849,3,18,2021,11,11,hungaroring,0.0
8952,1062,853,210,19,2021,11,11,hungaroring,0.0
8945,1062,840,117,12,2021,11,11,hungaroring,76893.0
8944,1062,817,1,11,2021,11,11,hungaroring,76871.0
8958,1063,20,117,5,2021,12,13,spa,116814.0
8963,1063,846,1,10,2021,12,13,spa,116025.0
8971,1063,854,210,18,2021,12,13,spa,0.0
8970,1063,852,213,17,2021,12,13,spa,0.0
8969,1063,841,51,16,2021,12,13,spa,0.0
8968,1063,840,117,15,2021,12,13,spa,118231.0
8967,1063,4,214,14,2021,12,13,spa,118205.0
8966,1063,832,6,13,2021,12,13,spa,118137.0
