qualifyid,raceid,driverid,constructorid,position,year,round,circuitid,circuitref,car_condition,driver_condition,previous_year_position,mean_lap_time,driver_time_better_mean,car_time_better_mean,q1
8793.0,1054,854.0,210.0,19.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,871.8000000000029,1101.800000000003,80452.0
8794.0,1054,853.0,210.0,20.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,1331.800000000003,1101.800000000003,80912.0
8803.0,1055,846.0,1.0,1.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-617.3000000000029,-395.8000000000029,77821.0
8801.0,1055,817.0,1.0,10.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-174.3000000000029,-395.8000000000029,78264.0
8797.0,1055,822.0,131.0,2.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-433.3000000000029,-313.3000000000029,78005.0
8795.0,1055,1.0,131.0,9.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-193.3000000000029,-313.3000000000029,78245.0
8798.0,1055,844.0,6.0,3.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-397.3000000000029,-315.3000000000029,78041.0
8800.0,1055,832.0,6.0,7.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-233.3000000000029,-315.3000000000029,78205.0
8796.0,1055,830.0,9.0,4.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-348.3000000000029,-291.8000000000029,78090.0
8802.0,1055,815.0,9.0,6.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-235.3000000000029,-291.8000000000029,78203.0
8806.0,1055,842.0,213.0,5.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-248.3000000000029,-65.30000000000291,78190.0
8810.0,1055,852.0,213.0,16.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,117.69999999999709,-65.30000000000291,78556.0
8805.0,1055,840.0,117.0,8.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-197.3000000000029,-173.3000000000029,78241.0
8807.0,1055,20.0,117.0,13.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-149.3000000000029,-173.3000000000029,78289.0
8804.0,1055,4.0,214.0,11.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-157.3000000000029,-157.3000000000029,78281.0
8799.0,1055,839.0,214.0,12.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,-157.3000000000029,-157.3000000000029,78281.0
8809.0,1055,847.0,3.0,14.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,6.69999999999709,393.6999999999971,78445.0
8813.0,1055,849.0,3.0,19.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,780.6999999999971,393.6999999999971,79219.0
8808.0,1055,841.0,51.0,15.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,110.69999999999709,294.6999999999971,78549.0
8811.0,1055,8.0,51.0,17.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,478.6999999999971,294.6999999999971,78917.0
8812.0,1055,854.0,210.0,18.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,678.6999999999971,1023.6999999999971,79117.0
8814.0,1055,853.0,210.0,20.0,2021.0,4.0,,shanghai,0.0,0.0,20.0,78438.3,1368.699999999997,1023.6999999999971,79807.0
8817.0,1056,822.0,131.0,1.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-819.263157894733,-477.263157894733,70938.0
8821.0,1056,1.0,131.0,7.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-135.263157894733,-477.263157894733,71622.0
8815.0,1056,844.0,6.0,2.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-644.263157894733,-538.763157894733,71113.0
8818.0,1056,832.0,6.0,5.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-433.263157894733,-538.763157894733,71324.0
8816.0,1056,830.0,9.0,3.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-633.263157894733,-373.263157894733,71124.0
8823.0,1056,815.0,9.0,8.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-113.26315789473301,-373.263157894733,71644.0
8819.0,1056,846.0,1.0,4.0,2021.0,5.0,79.0,miami,0.0,0.0,20.0,71757.26315789473,-436.263157894733,-223.263157894733,71321.0
